epoch,Train_loss,Test_loss,Train_f1_score,Test_f1_score
1,0.06931795179843903,0.07108557969331741,0.9061829874381789,0.7511734641943253
2,0.051151931285858154,0.03213517367839813,0.9351849476142295,0.7673807308499894
3,0.04371429607272148,0.04912635684013367,0.9436701322604371,0.7922639483867616
4,0.04027879610657692,0.08007422834634781,0.9474375050689621,0.7408224914653486
5,0.04150702804327011,0.06032925099134445,0.9539416448966304,0.8944270039773726
6,0.0286847110837698,0.05704876780509949,0.9551172517165222,0.9292788745824889
7,0.028148304671049118,0.06499543786048889,0.9565839210004372,0.9172141844589593
8,0.02400844357907772,0.04761640354990959,0.9545136313916214,0.9442737443212997
9,0.02840365469455719,0.027452055364847183,0.9574258181281277,0.9523830779450081
10,0.021482985466718674,0.03900132328271866,0.9581246552249236,0.9201018904057021
11,0.02954735979437828,0.017712490633130074,0.9600820471322704,0.9420009294764815
12,0.03045131079852581,0.05910855159163475,0.9569361387272249,0.9143809825468922
13,0.018616637215018272,0.05749267339706421,0.9601362166977286,0.9501639300769671
14,0.021868688985705376,0.07648473232984543,0.9614120438169069,0.9470191436092209
15,0.020076006650924683,0.05235404893755913,0.9598904161785095,0.9599521426719753
16,0.02266533486545086,0.05138634145259857,0.9619776275021981,0.9392167591603383
17,0.02023814432322979,0.05450984835624695,0.963572193515146,0.8888018145576453
18,0.02939041517674923,0.08416086435317993,0.9637806910652662,0.9449770131999428
19,0.045051075518131256,0.03745895251631737,0.9629050671903915,0.8736799972155526
20,0.0205925852060318,0.02169119380414486,0.9621692567660758,0.9282958220774573
21,0.029649853706359863,0.04085162281990051,0.9606944860062204,0.9289546135311351
22,0.02367798052728176,0.07537126541137695,0.9619609054378867,0.9318510437791715
23,0.021781232208013535,0.03080601990222931,0.9659680076415751,0.9642647562804021
24,0.02071559801697731,0.06545957922935486,0.9675265273604731,0.9545926587116452
25,0.0232076495885849,0.046146586537361145,0.9672045204276054,0.9284180570947073
